station_id,station_name,lat,lon,capacity
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,17
7093,Danforth Ave / Gough Ave,43.678401,-79.346289,17
7051,Wellesley St E / Yonge St (Green P),43.66506,-79.38357,17
7066,Willcocks St / St. George St,43.662085,-79.397735,17
7453,Jarvis St / Maitland Pl,43.664736,-79.377579,17
7463,Adelaide St W / Brant St,43.6462574,-79.3973381,17
7462,Richmond St E / Yonge St,43.651838,-79.378743,17
7293,College St / McCaul St,43.65906,-79.393771,17
7058,Huron/ Harbord St,43.6637,-79.400053,17
7264,Bloor St E / Huntley St - SMART,43.671535,-79.379173,16
7279,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,16
7244,Dufferin Gate - SMART,43.633473,-79.425679,16
7470,York St / Lakeshore Blvd W,43.64196,-79.380806,16
7422,Tyndall Ave / King St W - SMART,43.638426,-79.429142,16
7386,D'Arcy St. /McCaul St. SMART,43.655227,-79.39201,16
7380,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,16
7369,Dupont St / Emerson Ave SMART,43.667266,-79.443946,16
7255,Stewart St / Bathurst St  - SMART,43.643307,-79.402176,16
7484,Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,16
7233,King / Cowan Ave - SMART,43.637922,-79.431734,16
7232,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,16
7262,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,16
7284,York St / King St W - SMART,43.648,-79.3834,16
7281,Charles St W / Balmuto St - SMART,43.668427,-79.38725,16
7238,Sorauren/Geoffrey (Sorauren Park) - SMART,43.649172,-79.4445087,16
7268,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,16
7267,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,16
7278,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,16
7402,Wellington St W / Bathurst St - SMART,43.6426245,-79.4024594,15
7127,Bay St / Davenport Rd,43.672829,-79.390592,15
7123,424 Wellington St W,43.643834,-79.396649,15
7122,Niagara St / Tecumseth St,43.641389,-79.404444,15
7121,Jarvis St / Dundas St E,43.657266,-79.374756,15
7476,Symington Ave / Dupont St - SMART,43.665538,-79.451263,15
7119,Sumach St / Carlton St. (Riverdale Farm),43.665867,-79.362506,15
7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,15
7128,Yonge St / Aylmer Ave,43.675492,-79.388858,15
7117,Castle Frank Station,43.674083,-79.368579,15
7116,Parliament St / Bloor St E,43.671827,-79.371849,15
