trip_id,trip_start_time,trip_stop_time,trip_duration_seconds,from_station_id,from_station_name,to_station_id,to_station_name,user_type,origin_lat,origin_lon,destination_lat,destination_lon
712525,2017/1/1 13:21,2017/1/1 13:28,461,7073,Bremner Blvd / Spadina Ave,7070,25 York St (ACC/Union Station South),Member,43.640114,-79.393249,43.643667,-79.380414
712526,2017/1/1 13:25,2017/1/1 13:27,108,7039,Simcoe St / Dundas St W,7022,Simcoe St / Queen St W,Member,43.65232722,-79.38825382,43.650858,-79.387582
712527,2017/1/1 13:28,2017/1/1 13:40,736,7123,424 Wellington St. W,7171,Ontario Place Blvd / Remembrance Dr,Member,43.643834,-79.396649,43.6322445,-79.4108105
712528,2017/1/1 13:40,2017/1/1 13:49,491,7059,Front St W / Blue Jays Way,7101,Lower Sherbourne St / The Esplanade,Member,43.643473,-79.390477,43.648655,-79.367061
712529,2017/1/1 13:41,2017/1/1 13:59,1056,7171,Ontario Place Blvd / Remembrance Dr,7068,Dockside Dr / Queens Quay E (Sugar Beach),Member,43.6322445,-79.4108105,,
712530,2017/1/1 14:00,2017/1/1 14:03,178,7148,King St W / Joe Shuster Way,7188,Exhibition GO (Atlantic Ave),Member,43.639444,-79.423611,43.63666667,-79.41972222
712531,2017/1/1 14:01,2017/1/1 14:19,1032,7068,Dockside Dr / Queens Quay E (Sugar Beach),7175,HTO Park (Queen's Quay W),Member,,,43.63796,-79.387502
712532,2017/1/1 14:03,2017/1/1 14:13,629,7014,Sherbourne St / Carlton St (Allan Gardens),7062,University Ave / College St,Member,43.663102,-79.373181,43.659226,-79.390213
712533,2017/1/1 14:47,2017/1/1 15:09,1274,7049,Queen St W / Portland St,7133,Summerhill Station,Member,43.6476,-79.4015,43.681944,-79.390556
712534,2017/1/1 14:53,2017/1/1 15:03,566,7028,Gould St / Mutual St,7027,Beverly  St / Dundas St W,Casual,43.6582,-79.3768,43.652823,-79.393388
712535,2017/1/1 14:54,2017/1/1 15:02,529,7028,Gould St / Mutual St,7027,Beverly  St / Dundas St W,Casual,43.6582,-79.3768,43.652823,-79.393388
712536,2017/1/1 14:59,2017/1/1 15:02,166,7158,King St W / Stafford St,7177,East Liberty St / Pirandello St,Member,43.6422222,-79.41111111,43.63861111,-79.41472222
712537,2017/1/1 15:02,2017/1/1 15:09,397,7216,Wellington St W / Stafford St,7073,Bremner Blvd / Spadina Ave,Member,43.641281,-79.409339,43.640114,-79.393249
712538,2017/1/1 15:04,2017/1/1 15:15,673,7023,College St W / Borden St,7172,Strachan Ave / Princes' Blvd,Member,43.6571,-79.4056,43.635,-79.40888889
712539,2017/1/1 15:08,2017/1/1 15:21,824,7017,Widmer St / Adelaide St ,7171,Ontario Place Blvd / Remembrance Dr,Member,43.6475076,-79.3914841,43.6322445,-79.4108105
712540,2017/1/1 15:08,2017/1/1 15:17,526,7094,Chester Station,7116,Parliament St / Bloor St E,Member,43.6784556,-79.351014,43.671827,-79.371849
712541,2017/1/1 15:23,2017/1/1 15:27,255,7204,College St W / Crawford St,7199,College St W / Markham St,Member,43.655,-79.418889,43.65638889,-79.40916667
712542,2017/1/1 15:25,2017/1/1 15:46,1260,7176,Bathurst St / Fort York Blvd,7055,Jarvis St / Carlton St,Member,43.639179,-79.399595,43.66207,-79.37617
712543,2017/1/1 15:28,2017/1/1 15:44,961,7014,Sherbourne St / Carlton St (Allan Gardens),7023,College St W / Borden St,Casual,43.663102,-79.373181,43.6571,-79.4056
712544,2017/1/1 15:28,2017/1/1 15:44,956,7014,Sherbourne St / Carlton St (Allan Gardens),7023,College St W / Borden St,Casual,43.663102,-79.373181,43.6571,-79.4056
